"","Date","BTC","LTC","XRP","DOGE","XLM","ETH","TRX","ADA","SOL","DOT"
"1235",2024-05-19,66278.3700820502,82.2212107768,0.5096614267,0.1491073343,0.1055984519,3071.8429493039,0.121196413,0.4676020802,170.0913547301,6.9375346393
"1236",2024-05-20,71448.1951913786,88.6009461284,0.5373333747,0.1656883508,0.1122718498,3663.8555706363,0.1244471533,0.501757532,186.5204897272,7.5750303445
"1237",2024-05-21,70136.5314428893,88.2131839417,0.536982516,0.1704743338,0.112236665,3789.3128212647,0.1236427011,0.4947738627,178.1161569106,7.613662342
"1238",2024-05-22,69122.3390056842,85.7148849018,0.5265104547,0.1661627235,0.1106115782,3737.2178676292,0.1200957896,0.4831266126,176.8607811832,7.4544705468
"1239",2024-05-23,67929.5630390052,85.4156044852,0.528285933,0.1596127856,0.1090797526,3776.9272979593,0.1152250021,0.4653303508,175.9857777768,7.2007735369
"1240",2024-05-24,68526.0977735946,84.981603945,0.535753137,0.1638034776,0.110215659,3726.9345506864,0.1154561518,0.4594936267,167.7969266074,7.2442908548
"1241",2024-05-25,69265.9427381597,84.9808585025,0.5418088465,0.1739604456,0.1109117376,3749.2365712546,0.1137826133,0.4620715407,168.437639873,7.4281378697
"1242",2024-05-26,68518.089965076,83.8999259767,0.5282114549,0.1662199029,0.1086856433,3825.8975522959,0.1130893912,0.4583749224,163.3509088571,7.5472343829
"1243",2024-05-27,69394.5533738668,85.2121781992,0.5337719152,0.1690895344,0.1104498769,3892.0067337073,0.1124658143,0.4679630208,169.996144846,7.62829078
"1244",2024-05-28,68296.2219884276,83.3997768671,0.5282347787,0.1649624174,0.1077863403,3840.2564321309,0.1111016762,0.4569900823,168.6508408587,7.3670730999
"1245",2024-05-29,67578.0929202265,83.481501735,0.5232484288,0.1636948098,0.1065916386,3763.1964574929,0.1119483541,0.4509949791,168.0726766674,7.1724215922
"1246",2024-05-30,68364.9895474297,84.4193531234,0.5188611868,0.1595436994,0.1067780506,3746.8497204402,0.1120130265,0.4465813703,166.9765379039,6.9978597308
